Año, País,  PIB, PIB PERCAPITA, emisiones de co2, emisiones de co2 percapita, tasa natalidad, tasa mortalidad, población
;Costa Rica;78.77;37634;8264;7248;1.59;15.72;4.52;4554000
;Cuba;78.34;64328;5730;33775;2.98;11.16;7.72;11225832
;Ecuador;75.09;69555;4633;37827;2.53;21.47;5.07;15012000
;El salvador;71.21;18448;2979;6727;1.09;19.65;6.85;6193000
;Guatemala;71.48;41338;2826;11677;0.8;27.69;5.15;14630000
;Haití;60.51;6619;665;2358;0.24;27.65;9.63;9949322
;Honduras;73.32;15730;1919;8059;0.98;25.02;4.53;8195000
;México;75.07;1057801;9258;479215;4.08;20.04;5.2;114256000
;Nicaragua;72.43;8759;1506;4627;0.81;23.56;5.06;5816000
;Panamá;76.79;29440;8040;9437;2.59;21.1;4.93;3662000
;Paraguay;72.65;27239;4347;5182;0.83;22.49;5.41;6266000
;Perú;74.41;148931;5055;45111;1.54;20.31;5.5;29461933
;Rep. Dom;72.05;53921;5689;21372;2.16;21.4;6.03;9479000
;Uruguay;76.75;40285;11860;6384;1.89;14.1;9.9;3397000
;Venezuela;74.12;294507;10325;189006;6.51;20.79;4.6;28524000
2011;Argentina;75.44;527644;12788;199304;4.78;18.06;7.69;41261000
;Bolivia;68.52;24135;2395;16150;1.6;24.55;7.3;10078000
;Brasil;73.92;2613979;13296;465711;2.34;15.11;6.07;196604000
;Chile;78.99;252096;14611;78525;4.58;14.46;5.68;17254000
;Colombia;75.66;334476;7264;72173;1.56;16.46;4.3;46045000
;Costa Rica;78.92;42717;9261;7464;1.62;15.55;4.59;4613000
;Cuba;78.4;68990;6140;30927;2.72;11.18;7.86;11236670
;Ecuador;75.29;79277;5193;38485;2.54;21.25;5.08;15266000
;El salvador;71.45;20284;3251;6994;1.13;19.42;6.87;6239000
;Guatemala;71.86;47655;3188;11911;0.8;27.2;5.07;14949000
;Haití;60.88;7517;744;2410;0.24;27.25;9.48;10100320
;Honduras;73.57;17649;2113;9110;1.09;24.34;4.5;8352000
;México;75.01;1180487;10205;488543;4.1;19.77;5.1;115683000
;Nicaragua;72.69;9774;1630;4833;0.83;23.25;5.05;5997000
;Panamá;76.99;34686;9315;10207;2.75;20.9;4.94;3724000
;Paraguay;72.86;33716;5298;5365;0.85;22.19;5.41;6363000
;Perú;74.7;170983;5738;48236;1.62;19.91;5.53;29797694
;Rep. Dom;72.28;58088;6063;21318;2.13;21.18;6.04;9580000
;Uruguay;76.88;47962;14054;7680;2.27;14.36;9.6;3413000
;Venezuela;74.3;334272;11571;170837;580;20.47;4.7;28888369
2012;Argentina;75.6;579666;13890;204734;4.86;17.95;7.68;41733000
;Bolivia;69.01;27282;2665;17994;1.76;24.1;7.18;10239000
;Brasil;74.21;2464377;12427;500143;2.49;14.93;6.11;198315000
;Chile;79.18;267021;15308;80694;4.66;14.26;5.73;17443000
;Colombia;75.88;370344;7950;72310;1.54;16.19;4.3;46582000
;Costa Rica;79.07;46984;10055;7509;1.61;15.38;4.65;4673000
;Cuba;78.45;73141;6497;31725;2.79;11.17;8.02;11257101
;Ecuador;75.5;87925;5665;39849;2.58;21.05;5.09;15521000
;El salvador;71.69;21386;3400;7105;1.14;19.21;6.89;6290000
;Guatemala;72.24;50388;3300;12051;0.79;26.77;5;15271000
;Haití;61.26;7890;770;2301;0.22;26.84;9.33;10250930
;Honduras;73.81;18529;2178;9110;1.07;23.74;4.47;8506000
